,sentiment,review_body,review_tidy,tokens
5850,0,I can't use the ABC t.v. app or hulu. I bought this to watch my favorite tv shows and to watch movies. not real happy:(,hulu bought watch favorite shows watch movies real happy,"['hulu', 'buy', 'watch', 'favorite', 'show', 'watch', 'movie', 'real', 'happy']"
5856,0,No have Google play fu chuqhskfhsjkkkkk laggggggggg<br /><br /> buy the nvidia shield,Google play chuqhskfhsjkkkkk laggggggggg nvidia shield,"['google', 'play', 'chuqhskfhsjkkkkk', 'laggggggggg', 'nvidia', 'shield']"
5865,0,I've had my kindle for almost 3 years.  Unfortunately it was included in the problems Amazon had with the power jack.  Sometimes it charges and sometimes it doesn't.  It being one of the originals it cost almost $300.  I want a new one but am still considering it because of the past problems.  I didn't purchase a warranty because I figured at the price they were they would be reliable.  Big mistake.,kindle almost years Unfortunately included problems Amazon power jack Sometimes charges sometimes originals cost almost want still considering past problems purchase warranty figured price would reliable mistake,"['kindle', 'almost', 'year', 'unfortunately', 'include', 'problem', 'amazon', 'power', 'jack', 'sometimes', 'charge', 'sometimes', 'original', 'cost', 'almost', 'want', 'still', 'consider', 'past', 'problem', 'purchase', 'warranty', 'figure', 'price', 'would', 'reliable', 'mistake']"
5866,0,Let me start by saying we love this kindle but I am disappointed in the false advertisement saying this kindle is extremely durable because after 4 days of my son having it he dropped it from about 2 feet up and the screen cracked.,start saying love kindle disappointed false advertisement saying kindle extremely durable days dropped feet screen cracked,"['start', 'say', 'love', 'kindle', 'disappoint', 'false', 'advertisement', 'say', 'kindle', 'extremely', 'durable', 'day', 'drop', 'foot', 'screen', 'crack']"
5872,0,"It works fine and I like it, but I don't understand why people walk around with their noses buried in a phone or tablet all day. It's just not that exciting. Maybe it's my aversion to social media. It seems to be worth the $94 that I paid for it.",works fine like understand people walk around noses buried phone tablet exciting Maybe aversion social media seems worth paid,"['work', 'fine', 'like', 'understand', 'people', 'walk', 'around', 'nose', 'bury', 'phone', 'tablet', 'exciting', 'maybe', 'aversion', 'social', 'medium', 'seem', 'worth', 'pay']"
5873,0,"The jury is still out on &#34;battery life&#34;...it seems to run down too quickly. Other than that, it is a great value!",jury still battery life seems quickly Other great value,"['jury', 'still', 'battery', 'life', 'seem', 'quickly', 'other', 'great', 'value']"
5878,0,I wish i was able to download google play apps,wish able download google play apps,"['wish', 'able', 'download', 'google', 'play', 'app']"
5889,0,"no instructions come with it have very hard time to do any this with it , ask Daughter and most kids know all about electronics , and she is 34 old but does not know any thing about the kindle and nor do I . Trying to get into the new world and work with these new Electronics instead of watching the world go by, Please advise on help",instructions come hard time Daughter kids know electronics know thing kindle Trying world work Electronics instead watching world Please advise help,"['instruction', 'come', 'hard', 'time', 'daughter', 'kid', 'know', 'electronics', 'know', 'thing', 'kindle', 'try', 'world', 'work', 'electronics', 'instead', 'watch', 'world', 'please', 'advise', 'help']"
5891,0,I plugged in the device at 10 a.m and now the time is 5 p.m but the percentage charged is still 60%,plugged device time percentage charged still,"['plug', 'device', 'time', 'percentage', 'charge', 'still']"
5893,0,"Too hard to use, no instructions, how do you close programs or do they automatically close",hard instructions close programs automatically close,"['hard', 'instruction', 'close', 'program', 'automatically', 'close']"
5895,0,Loved it until I tried to read outside and can't due to glare.,Loved tried read outside glare,"['loved', 'try', 'read', 'outside', 'glare']"
5898,0,I can not get Firefox or Google chrome to down load on this. If any one knows how to make this happen please let me know. I like the android tablets a lot better.,Firefox Google chrome load knows make happen please know like android tablets better,"['firefox', 'google', 'chrome', 'load', 'know', 'make', 'happen', 'please', 'know', 'like', 'android', 'tablet', 'well']"
5908,0,P.S.Amazon..these kindles are supposed to keep their charge for several hours...eight or ten..right?..mine was over 100percent five mins ago..it's already down to 95I'm just saying....,Amazon kindles supposed keep charge several hours eight right mine percent five mins already saying,"['amazon', 'kindle', 'suppose', 'keep', 'charge', 'several', 'hour', 'eight', 'right', 'mine', 'percent', 'five', 'min', 'already', 'say']"
5909,0,"Whatever you do, spend the extra bread to get the ad free version.  I get so many pop-up ads that the page I am trying to view is completely obscured.  (Bad form Amazon.)",Whatever spend extra bread free version many page trying view completely obscured form Amazon,"['whatever', 'spend', 'extra', 'bread', 'free', 'version', 'many', 'page', 'try', 'view', 'completely', 'obscure', 'form', 'amazon']"
5922,0,"My daughter dropped this on her first day using it and the screen cracked. She's only three feet off the ground.  I called to request another and they made me buy the warranty. Advertising this on commercials saying it could fall off a car roof and be ok, is false advertisement. Just be aware it really isn't as durable as they say.",daughter dropped first using screen cracked three feet ground called request another made warranty Advertising commercials saying could fall roof false advertisement Just aware really durable,"['daughter', 'drop', 'first', 'use', 'screen', 'crack', 'three', 'foot', 'ground', 'call', 'request', 'another', 'make', 'warranty', 'advertising', 'commercial', 'say', 'could', 'fall', 'roof', 'false', 'advertisement', 'just', 'aware', 'really', 'durable']"
5932,0,Decent. Crap for storage space.,Decent Crap storage space,"['decent', 'crap', 'storage', 'space']"
5942,0,It's ok,,['nan']
5947,0,"What ever happened to good old fashioned instructions on how to use something? I hate to have to muddle through using a phone and computer to figure out what I am doing. I had thought it might be easier to read than the Kindle. It isn't. The screen is actually smaller. And, it weighs a ton.",What ever happened good fashioned instructions something hate muddle using phone computer figure thought might easier read Kindle screen actually smaller weighs,"['what', 'ever', 'happen', 'good', 'fashioned', 'instruction', 'something', 'hate', 'muddle', 'use', 'phone', 'computer', 'figure', 'think', 'might', 'easier', 'read', 'kindle', 'screen', 'actually', 'small', 'weigh']"
5960,0,"Ordered and received this at the end of February, now, the end of May and it won't even turn on. This was my third Kindle product and was excited for this one, but it is completely unresponsive...waste of money for a couple of months worth of use.",Ordered received February even turn This third Kindle product excited completely unresponsive waste money couple months worth,"['order', 'receive', 'february', 'even', 'turn', 'this', 'third', 'kindle', 'product', 'excite', 'completely', 'unresponsive', 'waste', 'money', 'couple', 'month', 'worth']"
5966,0,"Great tablet you guys got here. I was actually disappointed though, right out of the box I saw 2 dead pixels on the right side of the screen, very very small and not far from each other and took a picture. I had already been waiting for a tablet for quite some time so I very exited about getting this right before opening it. I still love it, and have invested some time and money into it, so i screwed myself for not mentioning this to customer service the moment I found the pixels.",Great tablet guys actually disappointed though right dead pixels right side screen small took picture already waiting tablet quite time exited getting right opening still love invested time money screwed mentioning customer service moment found pixels,"['great', 'tablet', 'guy', 'actually', 'disappoint', 'though', 'right', 'dead', 'pixel', 'right', 'side', 'screen', 'small', 'take', 'picture', 'already', 'wait', 'tablet', 'quite', 'time', 'exit', 'get', 'right', 'opening', 'still', 'love', 'invest', 'time', 'money', 'screw', 'mention', 'customer', 'service', 'moment', 'find', 'pixel']"
5976,0,This work ok but not on my wifi. Only was able to connect to public wifi systems even though the server was the same. I ordered a replacement but it showed a delivery date of 7-23-2015.Two months! I canceled. I really wanted this but feel the wait is to long.,This work wifi Only able connect public wifi systems even though server ordered replacement showed delivery date months canceled really wanted feel wait long,"['this', 'work', 'wifi', 'only', 'able', 'connect', 'public', 'wifi', 'system', 'even', 'though', 'server', 'order', 'replacement', 'show', 'delivery', 'date', 'month', 'cancel', 'really', 'want', 'feel', 'wait', 'long']"
5986,0,"Initially, thought it was a great price and product given the reviews, but too many advertisements and strings attached. It's not an independent tablet as I thought. Everything is tied to Amazon. It's also slow. Tracks everything.",Initially thought great price product given reviews many advertisements strings attached independent tablet thought Everything tied Amazon also slow Tracks everything,"['initially', 'think', 'great', 'price', 'product', 'give', 'review', 'many', 'advertisement', 'string', 'attach', 'independent', 'tablet', 'think', 'everything', 'tie', 'amazon', 'also', 'slow', 'track', 'everything']"
5999,0,"Battery does not last long.  Was trying to read book, audio started, could not shut off.  Tried to shut off Fire HD but audio continued.  On /off switch would not shut it off.  Had to finish book to get it shut off.  I like my old Kindle better.",Battery last long trying read book audio started could shut Tried shut Fire audio continued switch would shut finish book shut like Kindle better,"['battery', 'last', 'long', 'try', 'read', 'book', 'audio', 'start', 'could', 'shut', 'tried', 'shut', 'fire', 'audio', 'continue', 'switch', 'would', 'shut', 'finish', 'book', 'shut', 'like', 'kindle', 'well']"
6022,0,"I will be upgrading my iPad before I upgrade my kindle fire because I cannot get this one app to run on the fire.  Nor does the kindle run anything  based on Google play, so the alternative of downloading via 1mobile does not work either.",upgrading iPad upgrade kindle fire cannot fire kindle anything based Google play alternative downloading mobile work either,"['upgrade', 'ipad', 'upgrade', 'kindle', 'fire', 'can', 'not', 'fire', 'kindle', 'anything', 'base', 'google', 'play', 'alternative', 'download', 'mobile', 'work', 'either']"
6034,0,Cheap feeling plastic. Clunky UI.,Cheap feeling plastic Clunky,"['cheap', 'feel', 'plastic', 'clunky']"
6039,0,works great but does not have sd drive and memory is nearly full out of the box,works great drive memory nearly full,"['work', 'great', 'drive', 'memory', 'nearly', 'full']"
6054,0,Was a little dissapointed to find out 3 of the 8 gb was already used before I received it (system use I get it) 5gb wasn't enough for my needs. Had I known ahead of time I would have ordered one with a larger memory.,little dissapointed find already used received system enough needs known ahead time would ordered larger memory,"['little', 'dissapointed', 'find', 'already', 'use', 'receive', 'system', 'enough', 'need', 'know', 'ahead', 'time', 'would', 'order', 'large', 'memory']"
6067,0,"I love the new Kindle but I asked for a white one...not a black one. I told the guy twice. But, I don't feel like sending it all the way back! So I will keep it.",love Kindle asked white black told twice feel like sending back keep,"['love', 'kindle', 'ask', 'white', 'black', 'tell', 'twice', 'feel', 'like', 'send', 'back', 'keep']"
6073,0,Extremely disappointed in the camera. Picture quality is very poor and it was a major factor in deciding to upgrade.,Extremely disappointed camera Picture quality poor major factor deciding upgrade,"['extremely', 'disappointed', 'camera', 'picture', 'quality', 'poor', 'major', 'factor', 'decide', 'upgrade']"
6080,0,"Can't complain much for the money, but you're on your own figuring our how to use it! You may be able to get help via email or phone call, but the Kindle's built-in Help is pretty much non-existent, and website help is also pretty much useless. For a company with such a good customer srrvice reputation, I find the near-complete lack of information and help shocking.",complain much money figuring able help email phone call Kindle built Help pretty much existent website help also pretty much useless company good customer srrvice reputation find near complete lack information help shocking,"['complain', 'much', 'money', 'figure', 'able', 'help', 'email', 'phone', 'call', 'kindle', 'build', 'help', 'pretty', 'much', 'existent', 'website', 'help', 'also', 'pretty', 'much', 'useless', 'company', 'good', 'customer', 'srrvice', 'reputation', 'find', 'near', 'complete', 'lack', 'information', 'help', 'shock']"
6081,0,Very disappointed. It took to long to get itand I was sorry when I did. All I get is join this and join that all for a fee after 30 days. It does not do alot and the games are'nt that good.. I wish I went with the Apple Ipad,Very disappointed took long itand sorry join join days alot games good wish went Apple Ipad,"['very', 'disappointed', 'take', 'long', 'itand', 'sorry', 'join', 'join', 'day', 'alot', 'game', 'good', 'wish', 'go', 'apple', 'ipad']"
6100,0,Battery life is terrible. To small for my taste.,Battery life terrible small taste,"['battery', 'life', 'terrible', 'small', 'taste']"
6102,0,"Do not like it as well as my old one.  The screen is cracked on my old fire HD.  The size is an issue on new one, making it difficult to hold.  The old one seems to be more user friendly",like well screen cracked fire size issue making difficult hold seems user friendly,"['like', 'well', 'screen', 'crack', 'fire', 'size', 'issue', 'make', 'difficult', 'hold', 'seem', 'user', 'friendly']"
6104,0,Total waste.  If all you want is to use Amazon this would be great.  But trying to use it like an actual pad is a waste of time.  It's now really hard to install 3rd party apps that worked on previous Fires.  So the old one still gets used more than the new one I bought to replace it.,Total waste want Amazon would great trying like actual waste time really hard install party apps worked previous Fires still gets used bought replace,"['total', 'waste', 'want', 'amazon', 'would', 'great', 'try', 'like', 'actual', 'waste', 'time', 'really', 'hard', 'install', 'party', 'app', 'work', 'previous', 'fire', 'still', 'gets', 'use', 'buy', 'replace']"
6109,0,Lasted less than 6 months and now it won't turn on! Very disappointed!,Lasted less months turn Very disappointed,"['last', 'less', 'month', 'turn', 'very', 'disappointed']"
6110,0,did not realize this had ads...asked the person in the store to sell an ad-free model....clearly they blew it,realize asked person store sell free model clearly blew,"['realize', 'ask', 'person', 'store', 'sell', 'free', 'model', 'clearly', 'blow']"
6141,0,"This was my second (and last) Kindle.  The first was a gift and while I bristled at the idea of an e-reader (I much prefer the feel of an actual book in my hands),  I found other uses for it (Games.  I admit it),  so when, after a year and half, the tablet stopped charging, I decided to replace it.  The newer Kindle began having connection issues after a month...  a factory reset seemed to resolve that problem....  and charging issues after two.  Now, the unit is less than  four months old  and will not charge at all.  You, of course, may have better luck with yours, but I'm saving my pennies and buying a Nook.",This second last Kindle first gift bristled idea reader much prefer feel actual book hands found uses Games admit year half tablet stopped charging decided replace newer Kindle began connection issues month factory reset seemed resolve problem charging issues unit less four months charge course better luck saving pennies buying Nook,"['this', 'second', 'last', 'kindle', 'first', 'gift', 'bristle', 'idea', 'reader', 'much', 'prefer', 'feel', 'actual', 'book', 'hand', 'find', 'use', 'games', 'admit', 'year', 'half', 'tablet', 'stop', 'charge', 'decide', 'replace', 'new', 'kindle', 'begin', 'connection', 'issue', 'month', 'factory', 'reset', 'seem', 'resolve', 'problem', 'charge', 'issue', 'unit', 'less', 'four', 'month', 'charge', 'course', 'well', 'luck', 'save', 'penny', 'buy', 'nook']"
6146,0,"I was very disappointed in the storage capacity. With 8 GB of storage I expected to be able to store tons of music and several videos.  I had the old version of Fire HD and I was able to download at least six or seven videos and most of my music with no problem but this new one hardly holds any music and maybe one video, if it's not large before I've reached full capacity.  This was NOT what I was expecting.",disappointed storage capacity With storage expected able store tons music several videos version Fire able download least seven videos music problem hardly holds music maybe video large reached full capacity This expecting,"['disappoint', 'storage', 'capacity', 'with', 'storage', 'expect', 'able', 'store', 'ton', 'music', 'several', 'video', 'version', 'fire', 'able', 'download', 'least', 'seven', 'video', 'music', 'problem', 'hardly', 'hold', 'music', 'maybe', 'video', 'large', 'reach', 'full', 'capacity', 'this', 'expect']"
6147,0,"Not happy and have returned it.  Guess I'm in the wrong generation for<br />this kind of thing, I found it very complex.  Also, the glare was awful.",happy returned Guess wrong generation kind thing found complex Also glare awful,"['happy', 'return', 'guess', 'wrong', 'generation', 'kind', 'thing', 'find', 'complex', 'also', 'glare', 'awful']"
6149,0,I like my Fire HD.  The only thing you can't put background on it.  I think everybody would like to<br />customize their Fire HD.  I don't see what the problem with Amazon about letting people do it.,like Fire thing background think everybody would like customize Fire problem Amazon letting people,"['like', 'fire', 'thing', 'background', 'think', 'everybody', 'would', 'like', 'customize', 'fire', 'problem', 'amazon', 'let', 'people']"
6155,0,I would give it 5 stars but the volume sometimes works and sometimes don't.,would give stars volume sometimes works sometimes,"['would', 'give', 'star', 'volume', 'sometimes', 'work', 'sometimes']"
6157,0,"My husband bought e a kindle fire when it first came out.  I loved it.  I noticed a problem with the charger ports when my Mom's quit charging , then my son's and my daughter in laws stopped charging.  I had trouble for quite some time but I could usually jiggle it and get it to charge.  It DoD finally stopped charging.  My kindle hire h d was a gift from my husband to replace the first one.  It has a lot of new feature that I'm learning about.  As long as it keeps charging I will be happy.",husband bought kindle fire first came loved noticed problem charger ports quit charging daughter laws stopped charging trouble quite time could usually jiggle charge finally stopped charging kindle hire gift husband replace first feature learning long keeps charging happy,"['husband', 'buy', 'kindle', 'fire', 'first', 'came', 'love', 'noticed', 'problem', 'charger', 'port', 'quit', 'charge', 'daughter', 'law', 'stop', 'charge', 'trouble', 'quite', 'time', 'could', 'usually', 'jiggle', 'charge', 'finally', 'stop', 'charge', 'kindle', 'hire', 'gift', 'husband', 'replace', 'first', 'feature', 'learn', 'long', 'keep', 'charge', 'happy']"
6165,0,The fact that you cannot personalize the Kindle and are bombarded with constant ads is very bothersome and to think that to stop the ads on locks creen you have to pay a one time fee is degrading.  Save your money for a more customer friendly device. BELIEVE ME IT LACK A LOT OF THINK IT IS VERY LIMITED,fact cannot personalize Kindle bombarded constant bothersome think stop locks creen time degrading Save money customer friendly device BELIEVE LACK THINK VERY LIMITED,"['fact', 'can', 'not', 'personalize', 'kindle', 'bombard', 'constant', 'bothersome', 'think', 'stop', 'lock', 'creen', 'time', 'degrade', 'save', 'money', 'customer', 'friendly', 'device', 'believe', 'lack', 'think', 'very', 'limited']"
6166,0,I had to change my review.  I have lots of trouble from the product.  I had so much trouble that I called and they replaced (with a refurb) and now it has died.  Will contact Amazon again to see what they will do.  Has been more trouble than it is worth.  Wish that I would have went with a more inexpensive version.,change review lots trouble product much trouble called replaced refurb died Will contact Amazon trouble worth Wish would went inexpensive version,"['change', 'review', 'lot', 'trouble', 'product', 'much', 'trouble', 'call', 'replace', 'refurb', 'die', 'will', 'contact', 'amazon', 'trouble', 'worth', 'wish', 'would', 'go', 'inexpensive', 'version']"
6173,0,I am having problems transferring my iTunes and pictures from my old  divice. Color is very nice on the fire HD 7 and it takes beautiful photos.,problems transferring iTunes pictures divice Color nice fire takes beautiful photos,"['problem', 'transfer', 'itunes', 'picture', 'divice', 'color', 'nice', 'fire', 'take', 'beautiful', 'photo']"
6181,0,"I'm kind of annoyed with it, the color is nice.  But I'm really disappointed with Amazon on this one as I thought I would be able to also get my magazines subscriptions on this, but it is a huge pain in the ass with you can't get Google Play.  It's a problem with the competition is that no one wants you using certain platforms.  I ran into this with Amazon and my Samsung TV with Prime Instant, when you buy things with convenience in mind it can be a real problem.  So now I just basically use this for reading books, so it is just ok for me.",kind annoyed color nice really disappointed Amazon thought would able also magazines subscriptions huge pain Google Play problem competition wants using certain platforms Amazon Samsung Prime Instant things convenience mind real problem basically reading books,"['kind', 'annoyed', 'color', 'nice', 'really', 'disappoint', 'amazon', 'think', 'would', 'able', 'also', 'magazine', 'subscription', 'huge', 'pain', 'google', 'play', 'problem', 'competition', 'want', 'use', 'certain', 'platform', 'amazon', 'samsung', 'prime', 'instant', 'thing', 'convenience', 'mind', 'real', 'problem', 'basically', 'read', 'book']"
6192,0,One little drop and the screen shattered....,little drop screen shattered,"['little', 'drop', 'screen', 'shatter']"
6196,0,"If you're looking for a user-friendly tablet, this isn't one. It's very Amazon focused. This is for people who need a glorified e-reader.",looking user friendly tablet Amazon focused This people need glorified reader,"['look', 'user', 'friendly', 'tablet', 'amazon', 'focus', 'this', 'people', 'need', 'glorified', 'reader']"
6200,0,Got stolen a month after purchase and warranty doesn't cover the replacement.  Rip off,stolen month purchase warranty cover replacement,"['steal', 'month', 'purchase', 'warranty', 'cover', 'replacement']"
6212,0,The thing that I was so excited about was the camera!! But no its not that good ... But other wise I like it,thing excited camera good wise like,"['thing', 'excited', 'camera', 'good', 'wise', 'like']"
6213,0,"My new Kindle is hard to turn on, there is nothing to indicate if the battery has finished charging.  I cannot tell the difference between my old Kindle or the new one.",Kindle hard turn nothing indicate battery finished charging cannot tell difference Kindle,"['kindle', 'hard', 'turn', 'nothing', 'indicate', 'battery', 'finished', 'charge', 'can', 'not', 'tell', 'difference', 'kindle']"
6214,0,"The Fire HD arrived prior to the original due date and in good condition.  The display is very clean and clear.  However, a ridiculous amount of Amazon ads pop up on various screens.  And some of the apps work fine for a while and then randomly go back a screen.  This ocurs numerous times in a row which is very frustrating.  Many times I have to exit and restart either the app (which sometimes still does not fix it) or turn off the Kindle.",Fire arrived prior original date good condition display clean clear However ridiculous amount Amazon various screens apps work fine randomly back screen This ocurs numerous times frustrating Many times exit restart either sometimes still turn Kindle,"['fire', 'arrive', 'prior', 'original', 'date', 'good', 'condition', 'display', 'clean', 'clear', 'however', 'ridiculous', 'amount', 'amazon', 'various', 'screen', 'app', 'work', 'fine', 'randomly', 'back', 'screen', 'this', 'ocur', 'numerous', 'time', 'frustrating', 'many', 'time', 'exit', 'restart', 'either', 'sometimes', 'still', 'turn', 'kindle']"
6230,0,"The unit restarted and froze prior to and after updates installed, at this point I decided the fire wasn't for me.  I went online to request a refund with amazon, I was given 1/4 of the value of the kindle.  I then chatted and spoke to someone who said they'd issue a full refund.  I am still waiting for a full refund from amazon and my tracking says i am not entitled to a full refund, only partial.  BEWARE! IF YOU PURCHASE THIS...AND EXPERIENCE ISSUES, YOU WILL HAVE DRAMA AND MAY NOT GET A FULL REFUND!",unit restarted froze prior updates installed point decided fire went online request refund amazon given value kindle chatted spoke someone said issue full refund still waiting full refund amazon tracking says entitled full refund partial BEWARE PURCHASE THIS EXPERIENCE ISSUES WILL HAVE DRAMA FULL REFUND,"['unit', 'restart', 'freeze', 'prior', 'update', 'instal', 'point', 'decide', 'fire', 'go', 'online', 'request', 'refund', 'amazon', 'give', 'value', 'kindle', 'chat', 'speak', 'someone', 'say', 'issue', 'full', 'refund', 'still', 'wait', 'full', 'refund', 'amazon', 'tracking', 'say', 'entitle', 'full', 'refund', 'partial', 'beware', 'purchase', 'this', 'experience', 'issues', 'will', 'have', 'drama', 'full', 'refund']"
6235,0,"Pros:  awesome tool to read, feels like a book because its heavy.  Awesome for Audible listening.<br /><br />Cons:  Very limited quality apps.  Web browser not fully functional on some sites.  Black background is not customizable.",Pros awesome tool read feels like book heavy Awesome Audible listening Cons Very limited quality apps browser fully functional sites Black background customizable,"['pro', 'awesome', 'tool', 'read', 'feel', 'like', 'book', 'heavy', 'awesome', 'audible', 'listening', 'cons', 'very', 'limited', 'quality', 'app', 'browser', 'fully', 'functional', 'site', 'black', 'background', 'customizable']"
6243,0,"This was purchased for us, me & my husband as a gift.  It is very nice.  We are learning how to get to what we want.",This purchased husband gift nice learning want,"['this', 'purchase', 'husband', 'gift', 'nice', 'learning', 'want']"
6250,0,"I'm still learning the device, but so far... I like my Samsung Galaxy Tab far better. The fire doesn’t have the same apps that I use. They're similar but not better and can't be used independent of internet connection.",still learning device like Samsung Galaxy better fire apps They similar better used independent internet connection,"['still', 'learn', 'device', 'like', 'samsung', 'galaxy', 'well', 'fire', 'app', 'they', 'similar', 'well', 'use', 'independent', 'internet', 'connection']"
6260,0,Can't get all the games and things on this updated one that  I had on my old one.,games things updated,"['game', 'thing', 'update']"
6262,0,doesn't support google products. took it back,support google products took back,"['support', 'google', 'product', 'take', 'back']"
6266,0,"Liked old one , this one not easy to use , downloading is a problem.",Liked easy downloading problem,"['like', 'easy', 'downloading', 'problem']"
6272,0,"Sound and picture quality are very good.  8 hour usage from battery is not what I have experienced, usually 4-5 hours max.  Unable to print user guide pages which would be quite helpful rather than continually referring back to guide on more detailed and complicated instructions.  The price ,of course, is exceptionally good.",Sound picture quality good hour usage battery experienced usually hours Unable print user guide pages would quite helpful rather continually referring back guide detailed complicated instructions price course exceptionally good,"['sound', 'picture', 'quality', 'good', 'hour', 'usage', 'battery', 'experience', 'usually', 'hour', 'unable', 'print', 'user', 'guide', 'page', 'would', 'quite', 'helpful', 'rather', 'continually', 'refer', 'back', 'guide', 'detail', 'complicated', 'instruction', 'price', 'course', 'exceptionally', 'good']"
6278,0,Not that different from the original and memory always seems to be a problem.,different original memory always seems problem,"['different', 'original', 'memory', 'always', 'seem', 'problem']"
6288,0,talk about a product that serves no purpose.<br />i rather buy another device that i can do more with for the same price.,talk product serves purpose rather another device price,"['talk', 'product', 'serve', 'purpose', 'rather', 'another', 'device', 'price']"
6291,0,Pretty nice.  Battery life is horrible.,Pretty nice Battery life horrible,"['pretty', 'nice', 'battery', 'life', 'horrible']"
6299,0,"1 star because the Kindle Fire has an intrinsic problem of not staying on.  I've gone through 2 Kindles with the longest one lasting 1.5 years.  Customer service did not help but offered to sell me another, soon to be broken, Kindle for the low low price of $138 a whopping $1 off.",star Kindle Fire intrinsic problem staying gone Kindles longest lasting years Customer service help offered sell another soon broken Kindle price whopping,"['star', 'kindle', 'fire', 'intrinsic', 'problem', 'staying', 'go', 'kindle', 'long', 'lasting', 'year', 'customer', 'service', 'help', 'offer', 'sell', 'another', 'soon', 'break', 'kindle', 'price', 'whopping']"
6324,0,It's ok definitely not something to write home about. I also have a galaxy tablet that I feel is much better and easier to use,definitely something write home also galaxy tablet feel much better easier,"['definitely', 'something', 'write', 'home', 'also', 'galaxy', 'tablet', 'feel', 'much', 'well', 'easy']"
6325,0,It was a bad buy. Don't get it. It not H D at all I going to get a Samsung,going Samsung,"['go', 'samsung']"
6337,0,"Couldn't use it, couldn't connect it to my LG Bluetooth headset. Hard to go back into a book once read.",Couldn connect Bluetooth headset Hard back book read,"['couldn', 'connect', 'bluetooth', 'headset', 'hard', 'back', 'book', 'read']"
6347,0,"I received this on Saturday and finally got it opened on Sunday. My main purpose was to to get this for my sister so she could download games on it.  She loved it until today, Tuesday.  Just received a frantic call from her and she cannot the kindle to power up.  Any suggestions?",received Saturday finally opened Sunday main purpose sister could download games loved today Tuesday Just received frantic call cannot kindle power suggestions,"['receive', 'saturday', 'finally', 'open', 'sunday', 'main', 'purpose', 'sister', 'could', 'download', 'game', 'love', 'today', 'tuesday', 'just', 'receive', 'frantic', 'call', 'can', 'not', 'kindle', 'power', 'suggestion']"
6348,0,I have spent 2 whole days trying to load Words With Friends Classic and cannot get my password changed.  Very frustrating as this was one of the reasons I wanted the Kindle Fire.,spent whole days trying load Words With Friends Classic cannot password changed Very frustrating reasons wanted Kindle Fire,"['spend', 'whole', 'day', 'try', 'load', 'word', 'with', 'friends', 'classic', 'can', 'not', 'password', 'change', 'very', 'frustrating', 'reason', 'want', 'kindle', 'fire']"
6352,0,"It will not connect to the internet.  The wifi connection says 'connected' but when I try to read emails or shop amazon it says its not connected.  It was also difficult to find anything on start-up, since there were no instructions.<br /><br />Hopefully this will get better with time.",connect internet wifi connection says connected read emails shop amazon says connected also difficult find anything start since instructions Hopefully better time,"['connect', 'internet', 'wifi', 'connection', 'say', 'connected', 'read', 'email', 'shop', 'amazon', 'say', 'connect', 'also', 'difficult', 'find', 'anything', 'start', 'since', 'instruction', 'hopefully', 'well', 'time']"
6356,0,"A week after we bought it, it lost WiFi connection and wouldn't reconnect.  After calling every service line there was to call, we were finally connected to an amazon tech. support jacka$% who told us that he could fix it but we would be charged for the service. (It has a &#34;one year&#34; warranty!!)",week bought lost WiFi connection reconnect After calling every service line call finally connected amazon tech support jacka told could would charged service year warranty,"['week', 'buy', 'lose', 'wifi', 'connection', 'reconnect', 'after', 'call', 'every', 'service', 'line', 'call', 'finally', 'connect', 'amazon', 'tech', 'support', 'jacka', 'tell', 'could', 'would', 'charged', 'service', 'year', 'warranty']"
6359,0,"Retuned, i have become attatched to Google Play store, not an option on this device. It was a quality pad, lots of GB space, but no play store makes this a deal breaker for me. Device returned.",Retuned become attatched Google Play store option device quality lots space play store makes deal breaker Device returned,"['retune', 'become', 'attatched', 'google', 'play', 'store', 'option', 'device', 'quality', 'lot', 'space', 'play', 'store', 'make', 'deal', 'breaker', 'device', 'return']"
6362,0,Very short battery life.  Hard to toggle back and forth.,Very short battery life Hard toggle back forth,"['very', 'short', 'battery', 'life', 'hard', 'toggle', 'back', 'forth']"
6363,0,"I don't know what special offers they were going to give with the purchase of this, but I never got anything extra",know special offers going give purchase never anything extra,"['know', 'special', 'offer', 'go', 'give', 'purchase', 'never', 'anything', 'extra']"
6367,0,"Slower then expected. Not happy with the way it slowly navigates through Facebook, google, etc. Have the time the apps don't even work correctly.",Slower expected happy slowly navigates Facebook google Have time apps even work correctly,"['slower', 'expect', 'happy', 'slowly', 'navigate', 'facebook', 'google', 'have', 'time', 'app', 'even', 'work', 'correctly']"
6370,0,Nice as a mini computer. Take along works well.,Nice mini computer Take along works well,"['nice', 'mini', 'computer', 'take', 'along', 'work', 'well']"
6373,0,Overall I like this device quite a lot but prefer my original rather plain Kindle reader for reading books. It's fun with the other features like going online.,Overall like device quite prefer original rather plain Kindle reader reading books features like going online,"['overall', 'like', 'device', 'quite', 'prefer', 'original', 'rather', 'plain', 'kindle', 'reader', 'read', 'book', 'feature', 'like', 'go', 'online']"
